products_id	products_name	products_description	products_price	products_pricerange	products_quantity	products_quantityunit	products_materials	products_deadline	products_save	products_capacity	products_capacityunit	makers_id	categorys_id	subcategorys_id	citys_id	products_taste	products_scene	products_star	products_text	products_eyecatch	products_photo2	products_photo3	products_local	products_recommend	register_time	register_person	products_show
51	祖谷そば	祖谷そばは、源平合戦の後、流れ着いた平家の落人が祖谷地方でそばの栽培をしたのが始まりと言われています。当社の祖谷そばは独自の製法で、細く長いのど越しのよいそばに仕上げています。 厳選された玄そばを原料に、丹念に製造した独特の淡白で素朴な味わいを、ぜひご賞味下さいませ。	972	2	600	ｇ	小麦粉、そば粉、食塩	パッケージに記載	1			25	6	19	9	4	2			./img/img_products/51/51-1.jpg	./img/img_products/51/51-2.jpg	./img/img_products/51/51-3.jpg	FALSE	FALSE	2020-12-14 0:00:00	Admin	TRUE
52	「そらのそば」そば米	そばの実の皮をむいた、徳島ではポピュラーな食材、そば米。 約１０分ほど湯がくとやわらかくなります。 徳島の郷土料理である「そば米雑炊」を是非お試し下さい。そば米ぞうすいレシピ付！ 徳島県では吉野川上流である西部地域で作られたそばを「そらのそば」と呼び、栽培を推進しております。	2268	5	1	kg	そば米	パッケージに記載	1			26	3	8	1	4	3			./img/img_products/52/52-1.jpg	./img/img_products/52/52-2.jpg		FALSE	FALSE	2020-12-14 0:00:00	Admin	TRUE
53	もち麦	徳島産もち麦（ダイシモチ）です。 ダイシモチは弘法大師から名づけられ、開発された品種。 水溶性食物繊維（β-グルカン）を通常品種の1.5倍含みます。 β-グルカンは、コレステロール低減作用があり、 心疾患の予防効果があると認められています。 炊飯後ももちもちで美味しくお弁当にもぴったりです。	972	2	1	kg	もち麦	パッケージに記載	1			26	3	8	1	4	3			./img/img_products/53/53-1.jpg			FALSE	FALSE	2020-12-14 0:00:00	Admin	TRUE
54	大吟醸　瓢太閤	蔵の地元阿波町産の「阿波山田錦」を35%までみがきあげ 四国山系「吉野川伏流水」で仕込みました。 蔵元の熱い思い阿波の気候、風土、全てを封じ込めた一品です。 すっきりとしたきれあじ、上品な味わいです。  「オススメ」の飲み方 10度前後によく冷やしてお飲みください。	3850	5	720	ml	阿波山田錦100%使用	開栓後はお早めにお飲みください。	1			27	1	2	10	4	3			./img/img_products/54/54-1.jpg			FALSE	FALSE	2020-12-14 0:00:00	Admin	TRUE
55	阿波の香りすだち酎	徳島県産のすだち果汁を使用した「阿波の香りすだち酎」は、すだちの 清々しい香りと酸味が特徴です。 後あじもよく、すっきりとした飲み口です。  おすすめの飲み方　グラスに氷をたっぷり入れます。 すだち酎90ml にソーダ120ml～150ml 　ですだちハイボール。 また、氷をたっぷり入れたグラスにすだち酎を注ぎオンザロックもおすすめです。 すだち酎がゆっくり溶けていくのをお楽しみください。	903	2	720	ml	焼酎甲類（国内製造）、糖類、すだち果汁（徳島県産）/酸味料、調味料（アミノ酸）	開栓後はお早めにお飲みください。	1			27	1	1	10	4	1			./img/img_products/55/55-1.jpg	./img/img_products/55/55-2.jpg	./img/img_products/55/55-3.jpg	TRUE	FALSE	2020-12-14 0:00:00	Admin	TRUE
56	鳴門金時里娘	厳しい条件を満たした徳島県のさつまいもは、「なると金時」とよばれ全国で親しまれています。 中でもJA里浦産の「里むすめ」は、さつまいもの中でもトップブランドで知られています。 通気性に優れた海砂が生まれ、さらに海水に含まれる豊富なミネラルを直接取り入れられるので よりよいさつまいもが育つと言われています。  その「里むすめ」を使った本格芋焼酎鳴門金時里娘は、常圧蒸留で製法し、（常圧蒸留は、 85度から100度の温度帯で蒸留。高い温度の為、香気成分を多く含む） 華やかな香りや軽快な味わい、強い味の成分を抽出しました。  芋本来の甘さや香りを残しつつ、やわらかでほっこりとした味わいの芋焼酎の仕上がりました。  オススメの飲み方は、芋本来の味わいを楽しんで頂く為に最初は、ロックがオススメです。	1553	4	720	ml	さつまいも（JA里浦特産）、米麹(国産米）	開栓後はお早めにお飲みください。	1			27	1	3	10	4	5			./img/img_products/56/56-1.jpg	./img/img_products/56/56-2.jpg	./img/img_products/56/56-3.jpg	TRUE	FALSE	2020-12-14 0:00:00	Admin	TRUE
57	ゆず姫	ゆず果汁と本格芋・麦焼酎のブレンドで、フレッシュな香りとほんのりとした甘みが楽しめるお酒です。 	330	1	180	ml	ゆず果汁（徳島県産）、焼酎甲類・本格焼酎（いも・麦・米）、糖類、酸味料、香料	開栓後はお早めにお飲みください。	1			27	1	1	10	4	2			./img/img_products/57/57-1.jpg	./img/img_products/57/57-2.jpg	./img/img_products/57/57-3.jpg	TRUE	FALSE	2020-12-14 0:00:00	Admin	TRUE
58	鳴門鯛 大吟醸	林檎のようにフルーティ、春風のように爽やかな鳴門鯛 大吟醸  林檎を思わせるような甘く繊細な香りと、春の風のような爽やかで穏やかな味わいが特長。 酒造好適米 山田錦を48％まで丹念にみがきあげました。醪の状態で30日、じっくりと長期低温発酵にて造られます。熟練の蔵人の技と感性が光る大吟醸です。 冷やしたガラスの酒器で、大吟醸ならではの華やかな香りとふくらみのある味わいをお楽しみください。	880,3300,5500	2	300,720,1800	ml	米（国産）、米麹（国産米）、醸造アルコール	開栓後はお早めにお飲みください。	1			28	1	2	2	4	3			./img/img_products/58/58-1.jpg	./img/img_products/58/58-2.jpg	./img/img_products/58/58-3.jpg	FALSE	FALSE	2020-12-14 0:00:00	Admin	TRUE
59	すだち酒	徳島県産のすだち果汁に、ほんのり甘いハチミツと清酒をプラス。 徳島県特産のすだちのフルーティな香りと爽やかな酸味。はちみつの甘味と清酒の旨味が調和した美味しさ。やや甘口で、雑味が少なくキレが良い。 よく冷やして、ストレート、ロックでお楽しみください。郷土の懐かしい香りを伝えるお土産にも最適です。	383,814	1	300,720	ml	醸造アルコール（国内製造）、すだち果汁、糖類、はちみつ、清酒／香料	開栓後はお早めにお飲みください。	1			28	1	1	2	4	1			./img/img_products/59/59-1.jpg	./img/img_products/59/59-2.jpg	./img/img_products/59/59-3.jpg	TRUE	FALSE	2020-12-14 0:00:00	Admin	TRUE
60	水ト米	■日本酒初心者の方にオススメ!■ 「ナルトタイ 純米原酒 水ト米（ミズトコメ）」は、今まで日本酒を飲まなかった女性や若い皆さんなど、日本酒初心者の方に飲んでいただきたい純米酒です。純米酒とは思えないほど、フルーティ。 スッキリした味わいで、さわやかな香りが特長です。酸がやわらかで優しい味わい。後味には、ほんのりとした旨みがただよいます。  ■純粋に水と米だけの酒「水ト米」■ 「水ト米」は明治時代に「速醸もと」の発明で知られる故・江田鎌治朗氏が考案し、当時実現できなかった製法を再現し、仕込んだ純米酒です。 酒母には酵母以外は添加せず、自然の乳酸の力だけで発酵が進むので、酸がやわらかな優しい純米酒に仕上がりました。 もろみの段階でアルコール度数を調整し、原酒といえどもアルコールのカドのない軽やかな口あたりに仕上げました。原酒ですから、味わいに深みがあります。  ■よく冷やして、ワイングラスでどうぞ■ 香りをより楽しんでいただけるようワイングラスをおすすめします。冷蔵庫でよく冷やした「水ト米」をグラスに注いでワイン感覚でお楽しみください。優しい味わいの和食にとても良く合いますし、フレンチ・イタリアンなど、お食事を選ばずお召し上がりいただけます。	1320	3	720	ml	米（国産），米麹（国産米）	開栓後はお早めにお飲みください。	1			28	1	2	2	4	5			./img/img_products/60/60-1.jpg	./img/img_products/60/60-2.jpg		FALSE	FALSE	2020-12-14 0:00:00	Admin	TRUE
